DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Nicoya            ,50201,38581,104,48,56,26.198777931644944,16.96869851729819,1.372,44.539476448943134,17.04136280508619,Medio
Nicoya            ,50201,38625,77,41,36,25.391242139439314,12.520593080724876,6.1,44.011835220164194,16.810059184529184,Medio
Nicoya            ,50201,38672,25,14,11,32.9374480543324,3.9538714991762767,21.87,58.761319553508685,23.275833543266334,Medio
Nicoya            ,50201,38706,37,17,20,17.278470680342963,5.930807248764415,40.636,63.84527792910738,25.504503167432052,Medio
Nicoya            ,50201,38718,30,15,15,22.68737809197808,4.7775947281713345,14.989,42.45397282014942,16.12713451185541,Bajo-medio
Nicoya            ,50201,38725,177,81,96,45.864628992493365,28.995057660626028,20.171,95.0306866531194,39.17534151929278,Alto-medio
Nicoya            ,50201,38749,23,9,14,19.043279834459394,3.6243822075782535,0.506,23.17366204203765,7.675168582729867,Bajo
Nicoya            ,50201,38761,64,31,33,22.700805630066633,10.378912685337728,3.013,36.09271831540436,13.338532867444203,Bajo-medio
Nicoya            ,50201,38767,30,16,14,22.157825300859123,4.7775947281713345,7.351,34.28642002903046,12.546700632478267,Bajo-medio
Nicoya            ,50201,38779,43,20,23,21.51097664663192,6.919275123558484,0.097,28.527251770190407,10.02203728736882,Bajo
Nicoya            ,50201,38838,24,11,13,22.198635685174146,3.789126853377265,2.966,28.953762538551413,10.209008053767711,Bajo
Nicoya            ,50201,38851,93,44,49,27.939553898586393,15.15650741350906,8.757,51.85306131209545,20.24744027938225,Medio
Nicoya            ,50201,38866,98,50,48,29.313241647185684,15.980230642504118,0.72,46.0134722896898,17.68752265017577,Medio
Nicoya            ,50201,38875,70,37,33,21.572576453823377,11.367380560131796,3.693,36.63295701395517,13.57535887747565,Bajo-medio
Nicoya            ,50201,38954,24,11,13,33.56239857030472,3.789126853377265,8.072,45.42352542368198,17.428905926157338,Medio
Nicoya            ,50201,38979,52,25,27,30.52147277267037,8.40197693574959,3.268,42.19144970841996,16.01205149159287,Bajo-medio
Nicoya            ,50201,39014,38,16,22,30.423333018010716,6.095551894563426,7.114,43.63288491257414,16.643937635688857,Bajo-medio
Nicoya            ,50201,39016,129,64,65,28.18211368279736,21.087314662273478,0.858,50.12742834507083,19.490969535143744,Medio
Nicoya            ,50201,39102,232,119,113,70.33649761968988,38.056013179571664,2.614,111.00651079926155,46.17871002962747,Alto-medio
Nicoya            ,50201,39114,162,75,87,30.073603276483073,26.523887973640857,1.355,57.95249125012393,22.921265126740536,Medio
Nicoya            ,50201,39143,123,65,58,33.179142148142866,20.098846787479406,0.547,53.82498893562227,21.111879928750934,Medio
Nicoya            ,50201,39157,29,13,16,25.38470341155724,4.612850082372323,18.333,48.33055349392956,18.703268278896882,Medio
Nicoya            ,50201,39169,130,70,60,36.60133204776738,21.25205930807249,49.648,107.50139135583987,44.642160621567726,Alto-medio
Nicoya            ,50201,39185,70,33,37,16.216346850748863,11.367380560131796,0.463,28.04672741088066,9.811388425960859,Bajo
Nicoya            ,50201,39195,58,33,25,18.448807355370704,9.390444810543658,40.435,68.27425216591436,27.446045489092363,Medio
Nicoya            ,50201,39216,13,6,7,29.106227972161815,1.9769357495881383,25.925,57.00816372174995,22.507297520740472,Medio
Nicoya            ,50201,39225,87,47,40,29.518132382035855,14.168039538714991,2.167,45.853171920750846,17.61725131107285,Medio
Nicoya            ,50201,39280,86,40,46,55.02527588638697,14.00329489291598,54.6,123.62857077930295,51.71187918516827,Alto
Nicoya            ,50201,39300,30,15,15,25.721138707593283,4.7775947281713345,0.767,31.265733435764616,11.222513462329882,Bajo
Nicoya            ,50201,39307,85,39,46,17.83199992818913,13.838550247116968,8.198,39.8685501753061,14.993755265115619,Bajo-medio
Nicoya            ,50201,39328,38,19,19,32.811000518792476,6.095551894563426,3.062,41.9685524133559,15.914339355867632,Bajo-medio
Nicoya            ,50201,39349,80,42,38,31.841010848765222,13.01482701812191,1.428,46.283837866887126,17.806043594841988,Medio
Nicoya            ,50201,39399,73,44,29,46.77990600940598,11.86161449752883,40.717,99.35852050693481,41.0725466370075,Alto-medio
Nicoya            ,50201,39449,105,54,51,31.822110826654264,17.1334431630972,41.43,90.38555398975146,37.1390411992987,Alto-medio
Nicoya            ,50201,39460,51,20,31,26.48909194653578,8.237232289950576,12.555,47.281324236486356,18.243314596728062,Medio
Nicoya            ,50201,39547,121,63,58,53.20562357186266,19.769357495881383,10.204,83.17898106774405,33.979874860978384,Alto-medio
Nicoya            ,50201,39582,64,28,36,24.27698832030191,10.378912685337728,0.0,34.655901005639635,12.708671083146832,Bajo-medio
Nicoya            ,50201,39662,256,122,134,32.73934316016976,42.00988467874794,11.6,86.3492278389177,35.3696251614403,Alto-medio
Nicoya            ,50201,39673,79,39,40,17.82665870313858,12.850082372322898,12.1,42.77674107546148,16.268627370984934,Bajo-medio
Nicoya            ,50201,39689,83,42,41,19.462736119108758,13.509060955518946,6.406,39.3777970746277,14.778622400594813,Bajo-medio
Nicoya            ,50201,39729,70,33,37,12.49445620135448,11.367380560131796,8.166,32.02783676148627,11.556598914457823,Bajo
Nicoya            ,50201,39752,5,2,3,34.700324955830716,0.6589785831960462,38.042,73.40130353902677,29.69360591595112,Medio
Nicoya            ,50201,39786,145,65,80,37.03549312564192,23.72322899505766,1.632,62.39072212069958,24.866865305876875,Medio
