DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Nicoya            ,50201,38581,104,48,56,26.198777931644944,16.96869851729819,75.166,118.33347644894313,43.58220793231352,Alto-medio
Nicoya            ,50201,38625,77,41,36,25.391242139439314,12.520593080724876,73.235,111.14683522016419,40.7227170342316,Alto-medio
Nicoya            ,50201,38672,25,14,11,32.9374480543324,3.9538714991762767,66.039,102.93031955350868,37.45344965120671,Medio
Nicoya            ,50201,38706,37,17,20,17.278470680342963,5.930807248764415,57.467,80.67627792910739,28.59879454254704,Bajo-medio
Nicoya            ,50201,38718,30,15,15,22.68737809197808,4.7775947281713345,69.265,96.72997282014941,34.986395225560194,Bajo-medio
Nicoya            ,50201,38725,177,81,96,45.864628992493365,28.995057660626028,66.65,141.5096866531194,52.80378446871944,Alto
Nicoya            ,50201,38749,23,9,14,19.043279834459394,3.6243822075782535,75.875,98.54266204203765,35.707645690977024,Bajo-medio
Nicoya            ,50201,38761,64,31,33,22.700805630066633,10.378912685337728,74.711,107.79071831540436,39.38735251044972,Medio
Nicoya            ,50201,38767,30,16,14,22.157825300859123,4.7775947281713345,70.931,97.86642002903045,35.438575923955526,Bajo-medio
Nicoya            ,50201,38779,43,20,23,21.51097664663192,6.919275123558484,76.073,104.5032517701904,38.07930326121994,Medio
Nicoya            ,50201,38838,24,11,13,22.198635685174146,3.789126853377265,74.875,100.86276253855141,36.63078990274724,Medio
Nicoya            ,50201,38851,93,44,49,27.939553898586393,15.15650741350906,70.569,113.66506131209545,41.724693390078336,Alto-medio
Nicoya            ,50201,38866,98,50,48,29.313241647185684,15.980230642504118,75.558,120.85147228968981,44.584092673573466,Alto-medio
Nicoya            ,50201,38875,70,37,33,21.572576453823377,11.367380560131796,74.257,107.19695701395517,39.151100973316055,Medio
Nicoya            ,50201,38954,24,11,13,33.56239857030472,3.789126853377265,72.516,109.867525423682,40.21369277624879,Medio
Nicoya            ,50201,38979,52,25,27,30.52147277267037,8.40197693574959,74.472,113.39544970841996,41.61741769588617,Alto-medio
Nicoya            ,50201,39014,38,16,22,30.423333018010716,6.095551894563426,71.071,107.58988491257415,39.30744295755259,Medio
Nicoya            ,50201,39016,129,64,65,28.18211368279736,21.087314662273478,75.439,124.70842834507083,46.11873596291683,Alto-medio
Nicoya            ,50201,39102,232,119,113,70.33649761968988,38.056013179571664,74.517,182.90951079926154,69.2763502417293,Alto
Nicoya            ,50201,39114,162,75,87,30.073603276483073,26.523887973640857,75.256,131.85349125012394,48.9616832720722,Alto
Nicoya            ,50201,39143,123,65,58,33.179142148142866,20.098846787479406,75.603,128.88098893562227,47.77895506257048,Alto
Nicoya            ,50201,39157,29,13,16,25.38470341155724,4.612850082372323,65.169,95.16655349392956,34.36432669717609,Bajo-medio
Nicoya            ,50201,39169,130,70,60,36.60133204776738,21.25205930807249,55.863,113.71639135583987,41.74511708846717,Alto-medio
Nicoya            ,50201,39185,70,33,37,16.216346850748863,11.367380560131796,75.795,103.37872741088066,37.63186654248673,Medio
